window_index,subject_id,window_start_time,window_end_time,window_start_sec,window_end_sec
296,29,180,240,360.0,480.0
297,29,210,270,420.0,540.0
298,29,240,300,480.0,600.0
299,29,270,330,540.0,660.0
300,30,0,60,0.0,120.0
301,30,30,90,60.0,180.0
302,30,60,120,120.0,240.0
303,30,90,150,180.0,300.0
304,30,120,180,240.0,360.0
305,30,150,210,300.0,420.0
306,30,180,240,360.0,480.0
307,30,210,270,420.0,540.0
308,30,240,300,480.0,600.0
309,30,270,330,540.0,660.0
310,31,0,60,0.0,120.0
311,31,30,90,60.0,180.0
312,31,60,120,120.0,240.0
313,31,90,150,180.0,300.0
314,31,120,180,240.0,360.0
315,31,150,210,300.0,420.0
316,31,180,240,360.0,480.0
317,31,210,270,420.0,540.0
318,31,240,300,480.0,600.0
319,31,270,330,540.0,660.0
320,32,0,60,0.0,120.0
321,32,30,90,60.0,180.0
322,32,60,120,120.0,240.0
323,32,90,150,180.0,300.0
324,32,120,180,240.0,360.0
325,32,150,210,300.0,420.0
326,32,180,240,360.0,480.0
327,32,210,270,420.0,540.0
328,32,240,300,480.0,600.0
329,32,270,330,540.0,660.0
330,33,0,60,0.0,120.0
331,33,30,90,60.0,180.0
332,33,60,120,120.0,240.0
333,33,90,150,180.0,300.0
334,33,120,180,240.0,360.0
335,33,150,210,300.0,420.0
336,33,180,240,360.0,480.0
337,33,210,270,420.0,540.0
338,33,240,300,480.0,600.0
339,33,270,330,540.0,660.0
340,34,0,60,0.0,120.0
341,34,30,90,60.0,180.0
342,34,60,120,120.0,240.0
343,34,90,150,180.0,300.0
344,34,120,180,240.0,360.0
345,34,150,210,300.0,420.0
346,34,180,240,360.0,480.0
347,34,210,270,420.0,540.0
348,34,240,300,480.0,600.0
349,34,270,330,540.0,660.0
350,35,0,60,0.0,120.0
351,35,30,90,60.0,180.0
352,35,60,120,120.0,240.0
353,35,90,150,180.0,300.0
354,35,120,180,240.0,360.0
355,35,150,210,300.0,420.0
356,35,180,240,360.0,480.0
357,35,210,270,420.0,540.0
358,35,240,300,480.0,600.0
359,35,270,330,540.0,660.0
360,36,0,60,0.0,120.0
361,36,30,90,60.0,180.0
362,36,60,120,120.0,240.0
363,36,90,150,180.0,300.0
